date,price,logprice,return,volatility,volatility60
2012-09-14,11.67,2.4570214462984645,0.02349581404382306,0.09080006968626884,0.06754260046687657
2012-09-15,11.75,2.463853240590168,0.006831794291703552,0.09084955886241014,0.06747305011289363
2012-09-16,11.87,2.4740142086215764,0.010160968031408313,0.08627901615571246,0.06735824532996912
2012-09-17,11.89,2.4756977107026907,0.0016835020811143409,0.08629726143530612,0.06723665946731565
2012-09-18,12.25,2.505525936990736,0.02982822628804538,0.047968299456489234,0.06697176784868097
2012-09-19,12.5725,2.531511889063983,0.025985952073246832,0.023233217332996013,0.06691634682682089
2012-09-20,12.2825,2.5081754850606663,-0.023336404003316602,0.02298081707793083,0.06655175197990786
2012-09-21,12.368,2.5151124918450662,0.006937006784399902,0.023458698707106894,0.0666669137652013
2012-09-22,12.2378,2.5045295223671773,-0.010582969477888948,0.02308455672843949,0.06664880872660656
2012-09-23,12.1933,2.5008866205565923,-0.0036429018105850197,0.02187765739903169,0.06664594867350447
2012-09-24,12.1,2.4932054526026954,-0.007681167953896839,0.021816863673552934,0.06665226673267322
2012-09-25,12.197,2.501190019861101,0.007984567258405573,0.02193498460473642,0.06667036862215886
2012-09-26,12.27,2.50715725872282,0.005967238861718904,0.02132671321670111,0.0666656390290745
2012-09-27,12.3089,2.5103225779583473,0.0031653192355274307,0.02131160323783603,0.06657957420122507
2012-09-28,12.391,2.516970402634356,0.00664782467600844,0.02128042672435849,0.06639220992007028
2012-09-29,12.3631,2.5147162296436987,-0.0022541729906571106,0.021029638084229325,0.0663275552481175
2012-09-30,12.4,2.517696472610991,0.00298024296729249,0.017170970109311595,0.06629769770545134
2012-10-01,12.4,2.517696472610991,0,0.016443821299308214,0.06513660661169082
2012-10-02,12.84,2.552565298261815,0.034868825650824053,0.01620006864641798,0.06494079264652765
2012-10-03,12.89,2.556451816951096,0.0038865186892809156,0.016398291709850403,0.06508076229313713
2012-10-04,12.85,2.553343811341229,-0.003108005609867348,0.015920819461462003,0.06505784223032078
2012-10-05,12.688,2.5406566648924924,-0.012687146448736364,0.012780741633039619,0.06506020574205777
2012-10-06,12.505,2.5261285643295825,-0.014528100562909874,0.013024280736242256,0.06503939535793679
2012-10-07,11.8,2.468099531471619,-0.05802903285796335,0.012926514297783269,0.06507126177958153
2012-10-08,11.7781,2.466241874892177,-0.0018576565794421462,0.017369605419241842,0.06554034869905577
2012-10-09,11.895,2.476118143754921,0.009876268862743842,0.017372205237595688,0.06543698699353726
